author:ru, total:   15
author:me, total:   13
author:ta, total:   13
author:k4, total:   10
author:mo, total:    8
author:jd, total:    8
author:cr, total:    7
author:la, total:    6
author:la, total:    6
author:Ju, total:    5
author:dh, total:    5
author:cy, total:    4
author:da, total:    4
author:hb, total:    4
author:li, total:    4
author:ol, total:    4
author:te, total:    4
author:yy, total:    4
author:de, total:    4
author:sa, total:    4
author:Le, total:    4
author:an, total:    4
author:za, total:    3
author:su, total:    3
author:sc, total:    3
author:ki, total:    3
author:or, total:    3
author:dm, total:    3
author:ro, total:    3
author:ra, total:    3
author:bo, total:    3
author:sw, total:    3
author:ft, total:    3
author:jo, total:    3
author:re, total:    3
author:js, total:    3
author:ge, total:    3
author:ji, total:    2
author:po, total:    2
author:we, total:    2
author:dr, total:    2
author:ze, total:    2
author:ho, total:    2
author:ci, total:    2
author:il, total:    2
author:ed, total:    2
author:bi, total:    2
author:en, total:    2
author:re, total:    2
author:th, total:    2
