author:ta, total:   21
author:jd, total:   11
author:ru, total:   10
author:js, total:    7
author:cr, total:    6
author:k4, total:    6
author:mo, total:    6
author:st, total:    6
author:gg, total:    5
author:qw, total:    5
author:ft, total:    4
author:me, total:    4
author:el, total:    4
author:go, total:    4
author:dr, total:    4
author:la, total:    4
author:pj, total:    3
author:si, total:    3
author:we, total:    3
author:te, total:    3
author:as, total:    3
author:ne, total:    3
author:ro, total:    3
author:hb, total:    3
author:Le, total:    3
author:pa, total:    3
author:ci, total:    3
author:dh, total:    3
author:dk, total:    3
author:jo, total:    3
author:ge, total:    2
author:lo, total:    2
author:su, total:    2
author:re, total:    2
author:ki, total:    2
author:bu, total:    2
author:wa, total:    2
author:ch, total:    2
author:ri, total:    2
author:wa, total:    2
author:am, total:    2
author:ch, total:    2
author:62, total:    2
author:ti, total:    2
author:po, total:    2
author:th, total:    2
author:ze, total:    2
author:sw, total:    2
author:de, total:    2
author:jo, total:    2
