author:ta, total:   13
author:jd, total:   12
author:ru, total:   11
author:mo, total:    8
author:me, total:    8
author:k4, total:    7
author:st, total:    5
author:js, total:    5
author:dr, total:    5
author:la, total:    5
author:cr, total:    5
author:Le, total:    5
author:Ju, total:    4
author:dh, total:    4
author:ft, total:    4
author:el, total:    4
author:de, total:    3
author:as, total:    3
author:sh, total:    3
author:su, total:    3
author:jo, total:    3
author:ge, total:    3
author:ci, total:    3
author:sw, total:    3
author:sp, total:    3
author:qw, total:    3
author:so, total:    3
author:il, total:    3
author:gg, total:    3
author:ca, total:    3
author:hb, total:    3
author:ro, total:    3
author:ni, total:    2
author:re, total:    2
author:pi, total:    2
author:62, total:    2
author:tc, total:    2
author:te, total:    2
author:MS, total:    2
author:ge, total:    2
author:si, total:    2
author:ca, total:    2
author:lu, total:    2
author:re, total:    2
author:ze, total:    2
author:sa, total:    2
author:ad, total:    2
author:ne, total:    2
author:gl, total:    2
author:bl, total:    2
