author:ta, total:   15
author:ru, total:   13
author:jd, total:   12
author:k4, total:    8
author:mo, total:    8
author:me, total:    7
author:cr, total:    7
author:la, total:    6
author:dr, total:    5
author:js, total:    5
author:dh, total:    5
author:Le, total:    5
author:st, total:    5
author:cy, total:    4
author:ft, total:    4
author:da, total:    4
author:de, total:    4
author:el, total:    4
author:ci, total:    4
author:Ju, total:    4
author:ki, total:    3
author:yy, total:    3
author:sp, total:    3
author:so, total:    3
author:il, total:    3
author:dm, total:    3
author:sw, total:    3
author:we, total:    3
author:sh, total:    3
author:hb, total:    3
author:ro, total:    3
author:jo, total:    3
author:ge, total:    3
author:su, total:    3
author:ca, total:    3
author:gg, total:    3
author:wa, total:    2
author:tc, total:    2
author:ge, total:    2
author:pi, total:    2
author:wa, total:    2
author:st, total:    2
author:li, total:    2
author:ad, total:    2
author:an, total:    2
author:ch, total:    2
author:as, total:    2
author:re, total:    2
author:ca, total:    2
author:gl, total:    2
