author:des, total:   29
author:mem, total:   13
author:Bla, total:   10
author:mad, total:    9
author:gga, total:    8
author:ten, total:    6
author:dmd, total:    6
author:cro, total:    5
author:jel, total:    4
author:sha, total:    4
author:lil, total:    3
author:ilo, total:    3
author:jdh, total:    3
author:jhm, total:    3
author:bri, total:    3
author:mon, total:    3
author:zer, total:    3
author:gai, total:    2
author:ora, total:    2
author:sup, total:    2
author:buc, total:    2
author:rho, total:    2
author:dol, total:    2
author:and, total:    2
author:job, total:    2
author:jse, total:    2
author:tsj, total:    2
author:sno, total:    2
author:sai, total:    2
author:fro, total:    2
author:tib, total:    2
author:cyh, total:    2
author:jun, total:    2
author:kih, total:    2
author:vit, total:    2
author:sew, total:    2
author:drp, total:    2
author:kja, total:    2
author:scw, total:    2
author:pat, total:    2
author:jin, total:    2
author:ban, total:    2
author:nsu, total:    2
author:cli, total:    2
author:sfc, total:    2
author:hel, total:    1
author:dah, total:    1
author:app, total:    1
author:jjo, total:    1
author:edw, total:    1
