author:gg, total:   13
author:jd, total:    6
author:jo, total:    5
author:dk, total:    4
author:te, total:    3
author:yo, total:    2
author:su, total:    2
author:mr, total:    2
author:ro, total:    2
author:ka, total:    2
author:ze, total:    2
author:2o, total:    2
author:wo, total:    2
author:pi, total:    1
author:wr, total:    1
author:ed, total:    1
author:lb, total:    1
author:ri, total:    1
author:pa, total:    1
author:II, total:    1
author:gk, total:    1
author:de, total:    1
author:Ju, total:    1
author:su, total:    1
author:wh, total:    1
author:ro, total:    1
author:ia, total:    1
author:bu, total:    1
author:py, total:    1
author:eu, total:    1
author:am, total:    1
author:sk, total:    1
author:xe, total:    1
author:mo, total:    1
author:so, total:    1
author:ti, total:    1
author:qh, total:    1
author:je, total:    1
author:ba, total:    1
author:ho, total:    1
author:br, total:    1
author:to, total:    1
author:12, total:    1
author:ti, total:    1
author:ke, total:    1
author:mb, total:    1
author:my, total:    1
author:my, total:    1
author:kb, total:    1
author:ni, total:    1
