user_id:yj, total:   56
user_id:ji, total:    4
user_id:ha, total:    3
user_id:gp, total:    3
user_id:yo, total:    3
user_id:of, total:    3
user_id:zj, total:    3
user_id:le, total:    2
user_id:bg, total:    2
user_id:dr, total:    2
user_id:pr, total:    2
user_id:Ju, total:    2
user_id:tr, total:    2
user_id:qu, total:    2
user_id:cl, total:    2
user_id:lb, total:    2
user_id:de, total:    1
user_id:be, total:    1
user_id:be, total:    1
user_id:he, total:    1
user_id:ta, total:    1
user_id:ii, total:    1
user_id:ch, total:    1
user_id:jo, total:    1
user_id:sk, total:    1
user_id:sw, total:    1
user_id:ra, total:    1
user_id:sy, total:    1
user_id:pi, total:    1
user_id:te, total:    1
user_id:lu, total:    1
user_id:re, total:    1
user_id:da, total:    1
user_id:le, total:    1
user_id:po, total:    1
user_id:co, total:    1
user_id:co, total:    1
user_id:dl, total:    1
user_id:hs, total:    1
user_id:wl, total:    1
user_id:ja, total:    1
user_id:no, total:    1
user_id:qh, total:    1
user_id:ia, total:    1
user_id:yt, total:    1
user_id:mo, total:    1
user_id:wo, total:    1
user_id:mo, total:    1
user_id:dr, total:    1
user_id:bl, total:    1
