author:dr, total:   12
author:ze, total:    9
author:dk, total:    5
author:gg, total:    5
author:yo, total:    5
author:wa, total:    3
author:ne, total:    3
author:of, total:    3
author:ho, total:    2
author:jd, total:    2
author:wo, total:    2
author:ve, total:    2
author:hi, total:    2
author:4l, total:    2
author:ba, total:    2
author:su, total:    2
author:mr, total:    2
author:2u, total:    1
author:ro, total:    1
author:to, total:    1
author:ps, total:    1
author:ba, total:    1
author:lu, total:    1
author:mo, total:    1
author:wo, total:    1
author:cl, total:    1
author:wi, total:    1
author:je, total:    1
author:hi, total:    1
author:mf, total:    1
author:ca, total:    1
author:ju, total:    1
author:ta, total:    1
author:ku, total:    1
author:xa, total:    1
author:te, total:    1
author:in, total:    1
author:do, total:    1
author:vo, total:    1
author:si, total:    1
author:cl, total:    1
author:co, total:    1
author:gg, total:    1
author:le, total:    1
author:cl, total:    1
author:fo, total:    1
author:va, total:    1
author:do, total:    1
author:ie, total:    1
author:in, total:    1
