author:jd, total:   16
author:gg, total:    9
author:mi, total:    6
author:ma, total:    5
author:xh, total:    5
author:sh, total:    5
author:ju, total:    5
author:ka, total:    4
author:re, total:    4
author:we, total:    3
author:as, total:    3
author:ze, total:    3
author:ki, total:    3
author:ho, total:    3
author:an, total:    2
author:Su, total:    2
author:hj, total:    2
author:be, total:    2
author:wi, total:    2
author:sd, total:    2
author:dk, total:    2
author:ra, total:    2
author:ba, total:    2
author:ti, total:    2
author:tc, total:    2
author:rr, total:    2
author:13, total:    2
author:hi, total:    2
author:me, total:    2
author:li, total:    2
author:li, total:    2
author:ki, total:    2
author:hb, total:    2
author:tr, total:    2
author:la, total:    2
author:bi, total:    2
author:cl, total:    2
author:ru, total:    2
author:sd, total:    2
author:wa, total:    2
author:ne, total:    2
author:ca, total:    2
author:su, total:    2
author:vo, total:    2
author:ar, total:    2
author:k4, total:    2
author:ta, total:    2
author:gg, total:    2
author:MS, total:    2
author:st, total:    2
