author:jd, total:   14
author:gg, total:    7
author:mi, total:    6
author:ca, total:    5
author:ju, total:    5
author:xh, total:    5
author:be, total:    4
author:sh, total:    4
author:re, total:    4
author:ma, total:    4
author:ki, total:    4
author:ka, total:    4
author:as, total:    4
author:la, total:    3
author:we, total:    3
author:an, total:    3
author:re, total:    3
author:li, total:    3
author:tc, total:    3
author:ho, total:    3
author:ne, total:    2
author:no, total:    2
author:dk, total:    2
author:po, total:    2
author:ki, total:    2
author:ze, total:    2
author:gg, total:    2
author:hb, total:    2
author:ar, total:    2
author:ba, total:    2
author:ru, total:    2
author:2o, total:    2
author:po, total:    2
author:ra, total:    2
author:re, total:    2
author:hi, total:    2
author:li, total:    2
author:lo, total:    2
author:sd, total:    2
author:sd, total:    2
author:la, total:    2
author:st, total:    2
author:wi, total:    2
author:sa, total:    1
author:pe, total:    1
author:eh, total:    1
author:ko, total:    1
author:ni, total:    1
author:ro, total:    1
author:vi, total:    1
