user_id:yh, total:   18
user_id:nu, total:   11
user_id:yo, total:   10
user_id:42, total:   10
user_id:le, total:    9
user_id:lu, total:    9
user_id:er, total:    8
user_id:hy, total:    7
user_id:na, total:    7
user_id:wo, total:    7
user_id:sy, total:    7
user_id:lj, total:    7
user_id:do, total:    7
user_id:ki, total:    6
user_id:cr, total:    6
user_id:ra, total:    6
user_id:iz, total:    6
user_id:be, total:    6
user_id:pi, total:    6
user_id:re, total:    6
user_id:bl, total:    6
user_id:sp, total:    6
user_id:co, total:    6
user_id:dl, total:    6
user_id:jo, total:    5
user_id:wa, total:    5
user_id:js, total:    5
user_id:do, total:    5
user_id:ai, total:    5
user_id:no, total:    5
user_id:sl, total:    5
user_id:lu, total:    5
user_id:zz, total:    5
user_id:lj, total:    5
user_id:mi, total:    5
user_id:gr, total:    5
user_id:as, total:    5
user_id:to, total:    4
user_id:ly, total:    4
user_id:le, total:    4
user_id:po, total:    4
user_id:fl, total:    4
user_id:le, total:    4
user_id:pi, total:    4
user_id:ki, total:    4
user_id:he, total:    4
user_id:ca, total:    4
user_id:su, total:    4
user_id:ha, total:    4
user_id:li, total:    4
