author:gga, total:   42
author:and, total:   14
author:jdh, total:    8
author:k44, total:    6
author:lan, total:    5
author:ukj, total:    5
author:ten, total:    4
author:min, total:    4
author:lad, total:    4
author:nos, total:    4
author:sym, total:    3
author:sai, total:    3
author:eul, total:    3
author:drp, total:    3
author:sha, total:    3
author:boi, total:    3
author:cor, total:    2
author:kj9, total:    2
author:wao, total:    2
author:can, total:    2
author:alp, total:    2
author:smi, total:    2
author:rr4, total:    2
author:sin, total:    2
author:yoo, total:    2
author:red, total:    2
author:peg, total:    2
author:tiz, total:    2
author:tru, total:    2
author:lov, total:    2
author:ohm, total:    2
author:df3, total:    2
author:ili, total:    2
author:zen, total:    2
author:jse, total:    2
author:cjd, total:    2
author:red, total:    2
author:lim, total:    2
author:mir, total:    2
author:tar, total:    2
author:kp8, total:    2
author:cad, total:    2
author:win, total:    1
author:shi, total:    1
author:d11, total:    1
author:voc, total:    1
author:cho, total:    1
author:pro, total:    1
author:sty, total:    1
author:hb8, total:    1
