author:gga, total:   31
author:and, total:   12
author:ukj, total:    5
author:nos, total:    4
author:k44, total:    4
author:eul, total:    3
author:sai, total:    3
author:lan, total:    3
author:lov, total:    2
author:drp, total:    2
author:mir, total:    2
author:lim, total:    2
author:tar, total:    2
author:jdh, total:    2
author:sym, total:    2
author:cjd, total:    2
author:ili, total:    2
author:kp8, total:    2
author:min, total:    2
author:ten, total:    2
author:tru, total:    2
author:sha, total:    2
author:peg, total:    2
author:red, total:    2
author:alp, total:    2
author:ian, total:    1
author:cas, total:    1
author:hmh, total:    1
author:myf, total:    1
author:kev, total:    1
author:kyk, total:    1
author:tiz, total:    1
author:azy, total:    1
author:mir, total:    1
author:d11, total:    1
author:mal, total:    1
author:sel, total:    1
author:pin, total:    1
author:god, total:    1
author:yoo, total:    1
author:ccy, total:    1
author:yal, total:    1
author:min, total:    1
author:zii, total:    1
author:blu, total:    1
author:sta, total:    1
author:kni, total:    1
author:mot, total:    1
author:tls, total:    1
author:wel, total:    1
