user_id:me, total:   40
user_id:Ju, total:   33
user_id:ge, total:   27
user_id:ki, total:   20
user_id:th, total:   19
user_id:al, total:   19
user_id:li, total:   17
user_id:ys, total:   16
user_id:sl, total:   16
user_id:dh, total:   15
user_id:la, total:   14
user_id:sa, total:   13
user_id:ii, total:   13
user_id:dr, total:   12
user_id:ne, total:   12
user_id:ru, total:   12
user_id:da, total:   11
user_id:pi, total:   11
user_id:ca, total:   11
user_id:tj, total:   11
user_id:an, total:   11
user_id:se, total:   11
user_id:si, total:   10
user_id:m5, total:   10
user_id:re, total:   10
user_id:pn, total:   10
user_id:la, total:   10
user_id:ba, total:   10
user_id:sp, total:   10
user_id:ve, total:   10
user_id:de, total:   10
user_id:yy, total:   10
user_id:ri, total:    9
user_id:la, total:    9
user_id:p5, total:    9
user_id:co, total:    9
user_id:da, total:    9
user_id:Le, total:    8
user_id:ch, total:    8
user_id:po, total:    8
user_id:ba, total:    8
user_id:Me, total:    8
user_id:to, total:    8
user_id:sc, total:    8
user_id:jd, total:    8
user_id:go, total:    8
user_id:pi, total:    8
user_id:to, total:    8
user_id:ki, total:    8
user_id:cr, total:    8
