author:mem, total:   12
author:tas, total:   11
author:k44, total:    9
author:run, total:    8
author:lan, total:    8
author:cro, total:    7
author:Jul, total:    6
author:sho, total:    5
author:oli, total:    5
author:dmd, total:    5
author:and, total:    5
author:moo, total:    5
author:lad, total:    5
author:sup, total:    4
author:cyh, total:    4
author:min, total:    4
author:kim, total:    4
author:yy4, total:    4
author:ran, total:    4
author:mod, total:    4
author:dar, total:    4
author:dhk, total:    4
author:boi, total:    4
author:jdh, total:    4
author:sai, total:    3
author:fir, total:    3
author:sav, total:    3
author:cad, total:    3
author:edw, total:    3
author:sta, total:    3
author:hin, total:    3
author:des, total:    3
author:red, total:    3
author:rou, total:    3
author:ora, total:    3
author:sws, total:    3
author:liv, total:    3
author:kis, total:    3
author:sla, total:    2
author:bis, total:    2
author:pom, total:    2
author:yoo, total:    2
author:scw, total:    2
author:rem, total:    2
author:drp, total:    2
author:jin, total:    2
author:bor, total:    2
author:zaa, total:    2
author:mob, total:    2
author:mbs, total:    2
