user_id:xmo, total:   20
user_id:nfr, total:    2
user_id:blu, total:    2
user_id:fee, total:    2
user_id:bor, total:    2
user_id:tar, total:    1
user_id:car, total:    1
user_id:myl, total:    1
user_id:faf, total:    1
user_id:you, total:    1
user_id:bel, total:    1
user_id:mrp, total:    1
user_id:lon, total:    1
user_id:aaa, total:    1
user_id:tar, total:    1
user_id:mad, total:    1
user_id:cor, total:    1
user_id:luc, total:    1
user_id:say, total:    1
user_id:kws, total:    1
user_id:sim, total:    1
user_id:inp, total:    1
user_id:chr, total:    1
user_id:jin, total:    1
user_id:Mea, total:    1
user_id:blo, total:    1
user_id:gro, total:    1
user_id:mk1, total:    1
user_id:sta, total:    1
user_id:juy, total:    1
user_id:cho, total:    1
user_id:tom, total:    1
user_id:liv, total:    1
user_id:gih, total:    1
user_id:neo, total:    1
user_id:j30, total:    1
user_id:joo, total:    1
user_id:nin, total:    1
user_id:dab, total:    1
user_id:sin, total:    1
user_id:smi, total:    1
user_id:che, total:    1
user_id:kim, total:    1
user_id:see, total:    1
user_id:nin, total:    1
user_id:yon, total:    1
user_id:mu4, total:    1
user_id:cor, total:    1
user_id:yti, total:    1
user_id:bla, total:    1
