author:gg, total:   12
author:jd, total:    7
author:go, total:    2
author:co, total:    2
author:pe, total:    2
author:vo, total:    2
author:ps, total:    2
author:54, total:    1
author:mk, total:    1
author:dd, total:    1
author:wi, total:    1
author:ch, total:    1
author:ki, total:    1
author:cr, total:    1
author:dr, total:    1
author:as, total:    1
author:bl, total:    1
author:ac, total:    1
author:jo, total:    1
author:Ph, total:    1
author:ru, total:    1
author:mo, total:    1
author:ww, total:    1
author:ne, total:    1
author:su, total:    1
author:ph, total:    1
author:pr, total:    1
author:ra, total:    1
author:hb, total:    1
author:ya, total:    1
author:un, total:    1
author:ha, total:    1
author:bu, total:    1
author:cr, total:    1
author:ho, total:    1
author:2u, total:    1
author:ho, total:    1
author:an, total:    1
author:th, total:    1
author:29, total:    1
author:no, total:    1
author:gr, total:    1
author:ki, total:    1
author:wa, total:    1
author:Jh, total:    1
author:hj, total:    1
author:ma, total:    1
author:li, total:    1
author:kj, total:    1
author:su, total:    1
