author:gga, total:   12
author:lov, total:    3
author:for, total:    3
author:vir, total:    3
author:zer, total:    2
author:jkb, total:    2
author:mon, total:    2
author:hmj, total:    2
author:yhf, total:    2
author:pre, total:    2
author:jdh, total:    1
author:red, total:    1
author:2on, total:    1
author:ich, total:    1
author:yhk, total:    1
author:yoo, total:    1
author:swn, total:    1
author:ent, total:    1
author:wat, total:    1
author:tpw, total:    1
author:cha, total:    1
author:sty, total:    1
author:jae, total:    1
author:you, total:    1
author:kal, total:    1
author:shi, total:    1
author:sie, total:    1
author:sha, total:    1
author:lac, total:    1
author:twt, total:    1
author:nes, total:    1
author:nir, total:    1
author:liv, total:    1
author:kkk, total:    1
author:jyc, total:    1
author:pet, total:    1
author:b2m, total:    1
author:ung, total:    1
author:ass, total:    1
author:iam, total:    1
author:kom, total:    1
author:pg1, total:    1
author:say, total:    1
author:bar, total:    1
author:tru, total:    1
author:Are, total:    1
