author:as, total:   11
author:ju, total:    9
author:jd, total:    6
author:li, total:    5
author:ka, total:    5
author:ma, total:    5
author:le, total:    5
author:in, total:    4
author:hb, total:    3
author:al, total:    3
author:tc, total:    3
author:my, total:    2
author:nx, total:    2
author:bl, total:    2
author:sm, total:    2
author:th, total:    2
author:xh, total:    2
author:pi, total:    2
author:re, total:    2
author:dk, total:    2
author:we, total:    2
author:ho, total:    2
author:yh, total:    2
author:sk, total:    2
author:ko, total:    2
author:ca, total:    2
author:ch, total:    2
author:je, total:    2
author:no, total:    2
author:ly, total:    2
author:wk, total:    1
author:ma, total:    1
author:ho, total:    1
author:lo, total:    1
author:ra, total:    1
author:ko, total:    1
author:mo, total:    1
author:ti, total:    1
author:la, total:    1
author:iu, total:    1
author:so, total:    1
author:xh, total:    1
author:sa, total:    1
author:di, total:    1
author:re, total:    1
author:sw, total:    1
author:ki, total:    1
author:ro, total:    1
author:al, total:    1
author:dd, total:    1
