author:as, total:   11
author:ju, total:    9
author:jd, total:    6
author:ma, total:    5
author:le, total:    5
author:li, total:    4
author:tc, total:    4
author:ka, total:    4
author:in, total:    4
author:ho, total:    4
author:al, total:    3
author:my, total:    3
author:hb, total:    3
author:sm, total:    2
author:nx, total:    2
author:pi, total:    2
author:st, total:    2
author:dk, total:    2
author:re, total:    2
author:we, total:    2
author:ca, total:    2
author:th, total:    2
author:je, total:    2
author:no, total:    2
author:sk, total:    2
author:ch, total:    2
author:xh, total:    2
author:bl, total:    2
author:mi, total:    2
author:ni, total:    1
author:xh, total:    1
author:re, total:    1
author:me, total:    1
author:gi, total:    1
author:fo, total:    1
author:ki, total:    1
author:al, total:    1
author:to, total:    1
author:se, total:    1
author:ex, total:    1
author:sa, total:    1
author:si, total:    1
author:pj, total:    1
author:la, total:    1
author:iu, total:    1
author:ii, total:    1
author:ma, total:    1
author:ri, total:    1
author:ju, total:    1
author:gh, total:    1
