author:ri, total:   13
author:mo, total:    7
author:hi, total:    6
author:yh, total:    5
author:su, total:    5
author:bu, total:    4
author:Le, total:    4
author:4l, total:    4
author:jo, total:    3
author:ga, total:    3
author:si, total:    3
author:wc, total:    3
author:pe, total:    2
author:cl, total:    2
author:he, total:    2
author:mi, total:    2
author:pi, total:    2
author:xn, total:    2
author:oh, total:    2
author:hw, total:    1
author:hi, total:    1
author:bl, total:    1
author:br, total:    1
author:ab, total:    1
author:re, total:    1
author:fi, total:    1
author:mr, total:    1
author:oo, total:    1
author:ap, total:    1
author:to, total:    1
author:fi, total:    1
author:to, total:    1
author:da, total:    1
author:se, total:    1
author:so, total:    1
author:xe, total:    1
author:ra, total:    1
author:ki, total:    1
author:ch, total:    1
author:st, total:    1
author:po, total:    1
author:tr, total:    1
author:ga, total:    1
author:us, total:    1
author:fo, total:    1
author:ni, total:    1
author:pp, total:    1
author:se, total:    1
author:su, total:    1
author:ba, total:    1
