author:ri, total:   10
author:yh, total:    6
author:su, total:    5
author:mo, total:    5
author:hi, total:    5
author:4l, total:    4
author:ga, total:    4
author:jo, total:    4
author:bu, total:    4
author:Le, total:    4
author:wc, total:    3
author:oh, total:    2
author:pi, total:    2
author:si, total:    2
author:pe, total:    2
author:xn, total:    2
author:cl, total:    2
author:mi, total:    2
author:ze, total:    2
author:st, total:    2
author:he, total:    2
author:bo, total:    1
author:fo, total:    1
author:re, total:    1
author:ch, total:    1
author:da, total:    1
author:wi, total:    1
author:tr, total:    1
author:be, total:    1
author:pa, total:    1
author:ke, total:    1
author:da, total:    1
author:se, total:    1
author:hi, total:    1
author:po, total:    1
author:br, total:    1
author:bs, total:    1
author:mr, total:    1
author:k4, total:    1
author:to, total:    1
author:ab, total:    1
author:ra, total:    1
author:bs, total:    1
author:pi, total:    1
author:oo, total:    1
author:ra, total:    1
author:fi, total:    1
author:hw, total:    1
author:ch, total:    1
author:bl, total:    1
