author:hi, total:   11
author:de, total:    7
author:ju, total:    7
author:oh, total:    6
author:hs, total:    5
author:xh, total:    5
author:yo, total:    4
author:gg, total:    4
author:sa, total:    4
author:wa, total:    4
author:ho, total:    4
author:jd, total:    3
author:go, total:    3
author:he, total:    3
author:na, total:    3
author:ma, total:    3
author:ya, total:    3
author:ch, total:    3
author:sy, total:    3
author:pp, total:    3
author:dk, total:    3
author:gh, total:    3
author:no, total:    3
author:ju, total:    3
author:sw, total:    2
author:wo, total:    2
author:ca, total:    2
author:xe, total:    2
author:re, total:    2
author:ko, total:    2
author:bi, total:    2
author:le, total:    2
author:wi, total:    2
author:ic, total:    2
author:te, total:    2
author:Ki, total:    2
author:wi, total:    2
author:ir, total:    2
author:gu, total:    2
author:nu, total:    2
author:tv, total:    2
author:si, total:    2
author:va, total:    2
author:40, total:    2
author:ja, total:    2
author:dr, total:    2
author:hm, total:    2
author:nb, total:    2
author:jy, total:    1
author:dr, total:    1
