author:de, total:   34
author:gu, total:   25
author:mh, total:   10
author:jh, total:    9
author:me, total:    8
author:Bl, total:    7
author:dm, total:    6
author:wi, total:    6
author:ni, total:    5
author:ad, total:    4
author:te, total:    4
author:wa, total:    4
author:xm, total:    4
author:ze, total:    4
author:pp, total:    4
author:am, total:    4
author:cr, total:    4
author:il, total:    4
author:we, total:    3
author:2o, total:    3
author:re, total:    3
author:mo, total:    3
author:ol, total:    3
author:ac, total:    3
author:ko, total:    3
author:ca, total:    3
author:df, total:    3
author:pi, total:    3
author:ra, total:    2
author:mr, total:    2
author:na, total:    2
author:jo, total:    2
author:su, total:    2
author:yo, total:    2
author:un, total:    2
author:si, total:    2
author:ps, total:    2
author:sc, total:    2
author:th, total:    2
author:mi, total:    2
author:bl, total:    2
author:an, total:    2
author:sh, total:    2
author:se, total:    2
author:mf, total:    2
author:an, total:    2
author:sh, total:    2
author:bu, total:    2
author:da, total:    2
author:hj, total:    2
