author:piran, total:   83
author:kj920, total:   82
author:redja, total:   31
author:ianki, total:   22
author:ezjj , total:   15
author:kadeo, total:   14
author:kimdp, total:   13
author:canip, total:   11
author:kimju, total:    8
author:livin, total:    8
author:jsean, total:    7
author:hooni, total:    6
author:sacho, total:    5
author:globe, total:    4
author:shee3, total:    4
author:symme, total:    4
author:welfa, total:    3
author:prepp, total:    3
author:k4404, total:    3
author:zaado, total:    3
author:ham85, total:    3
author:min0a, total:    3
author:elfin, total:    3
author:askka, total:    3
author:df33 , total:    3
author:yondu, total:    2
author:jhetf, total:    2
author:ezkil, total:    2
author:kofte, total:    2
author:malic, total:    2
author:kicha, total:    2
author:silen, total:    2
author:typho, total:    2
author:dance, total:    2
author:tizto, total:    2
author:jdhun, total:    2
author:jaewa, total:    2
author:ohmyf, total:    2
author:Julia, total:    1
author:eroso, total:    1
author:gpflv, total:    1
author:bdc49, total:    1
author:coldr, total:    1
author:attat, total:    1
author:harmo, total:    1
author:daehy, total:    1
author:jujub, total:    1
author:jinun, total:    1
author:super, total:    1
author:rames, total:    1
