user_id:kj9, total:   64
user_id:tj2, total:   10
user_id:dar, total:    9
user_id:liv, total:    7
user_id:pen, total:    7
user_id:c10, total:    6
user_id:jse, total:    5
user_id:cro, total:    5
user_id:sym, total:    4
user_id:gpf, total:    4
user_id:ccy, total:    4
user_id:ner, total:    4
user_id:dra, total:    4
user_id:lim, total:    4
user_id:bub, total:    4
user_id:tgr, total:    4
user_id:juk, total:    3
user_id:fgh, total:    3
user_id:jji, total:    3
user_id:yan, total:    3
user_id:the, total:    3
user_id:jb0, total:    3
user_id:red, total:    3
user_id:dah, total:    3
user_id:new, total:    3
user_id:sha, total:    3
user_id:ham, total:    3
user_id:cha, total:    3
user_id:sti, total:    3
user_id:pir, total:    3
user_id:lsj, total:    3
user_id:ais, total:    3
user_id:jdh, total:    3
user_id:lan, total:    3
user_id:dla, total:    3
user_id:ksi, total:    3
user_id:m5n, total:    3
user_id:ysb, total:    2
user_id:hee, total:    2
user_id:juv, total:    2
user_id:yah, total:    2
user_id:pal, total:    2
user_id:mou, total:    2
user_id:kim, total:    2
user_id:woo, total:    2
user_id:ezk, total:    2
user_id:sma, total:    2
user_id:sav, total:    2
user_id:jiw, total:    2
user_id:tip, total:    2
