author:apple, total:   10
author:jobs7, total:    3
author:zenpl, total:    3
author:zmzm1, total:    2
author:ellia, total:    2
author:muhan, total:    2
author:rosea, total:    2
author:pegas, total:    1
author:khnic, total:    1
author:jubil, total:    1
author:babyv, total:    1
author:hmjun, total:    1
author:crowk, total:    1
author:hanoi, total:    1
author:phr10, total:    1
author:welfa, total:    1
author:pjg56, total:    1
author:shee3, total:    1
author:k4404, total:    1
author:stylo, total:    1
author:chibi, total:    1
author:bluem, total:    1
author:neart, total:    1
author:revol, total:    1
author:tenci, total:    1
author:netbi, total:    1
author:bsh04, total:    1
author:thero, total:    1
author:a0408, total:    1
author:jdhun, total:    1
author:ggang, total:    1
author:emera, total:    1
author:cyh47, total:    1
author:lany , total:    1
author:djsha, total:    1
author:monda, total:    1
author:foxte, total:    1
author:del89, total:    1
author:nzsta, total:    1
author:su640, total:    1
author:nolic, total:    1
author:akena, total:    1
author:jm071, total:    1
author:owl33, total:    1
author:ladi0, total:    1
author:dkkim, total:    1
author:kidin, total:    1
author:rucid, total:    1
author:dooth, total:    1
author:satoh, total:    1
