author:des, total:   28
author:ten, total:   20
author:jhm, total:   13
author:gga, total:   13
author:Kin, total:   11
author:ban, total:   10
author:win, total:    9
author:gog, total:    9
author:jel, total:    7
author:fro, total:    6
author:scw, total:    6
author:yhf, total:    5
author:Bla, total:    5
author:dmd, total:    5
author:mon, total:    5
author:dda, total:    5
author:sno, total:    5
author:liv, total:    5
author:sho, total:    5
author:Lee, total:    4
author:i82, total:    4
author:say, total:    4
author:nun, total:    4
author:gui, total:    4
author:rai, total:    3
author:did, total:    3
author:mok, total:    3
author:gen, total:    3
author:rev, total:    3
author:den, total:    3
author:roa, total:    3
author:rhd, total:    3
author:pea, total:    3
author:fai, total:    3
author:meg, total:    3
author:cro, total:    3
author:nir, total:    3
author:dod, total:    3
author:oli, total:    3
author:bor, total:    3
author:sha, total:    3
author:que, total:    3
author:sfc, total:    3
author:kdy, total:    3
author:bri, total:    3
author:mem, total:    3
author:kp8, total:    3
author:lik, total:    2
author:sup, total:    2
author:ryu, total:    2
