user_id:li, total:   38
user_id:ra, total:   22
user_id:da, total:   19
user_id:ge, total:   18
user_id:co, total:   16
user_id:kj, total:   16
user_id:ki, total:   15
user_id:lj, total:   14
user_id:la, total:   14
user_id:ev, total:   13
user_id:sp, total:   12
user_id:ni, total:   12
user_id:mi, total:   12
user_id:pi, total:   12
user_id:ga, total:   11
user_id:pe, total:   11
user_id:ju, total:   11
user_id:c1, total:   10
user_id:cr, total:   10
user_id:me, total:   10
user_id:re, total:   10
user_id:de, total:   10
user_id:gh, total:   10
user_id:wo, total:   10
user_id:sl, total:   10
user_id:kt, total:   10
user_id:ca, total:   10
user_id:pt, total:    9
user_id:he, total:    9
user_id:la, total:    9
user_id:f4, total:    9
user_id:sy, total:    9
user_id:ru, total:    9
user_id:hi, total:    8
user_id:pi, total:    8
user_id:as, total:    8
user_id:an, total:    8
user_id:ej, total:    8
user_id:in, total:    8
user_id:le, total:    8
user_id:bu, total:    8
user_id:Me, total:    8
user_id:th, total:    8
user_id:ne, total:    8
user_id:4q, total:    7
user_id:ma, total:    7
user_id:gr, total:    7
user_id:da, total:    7
user_id:to, total:    7
user_id:ca, total:    7
