author:me, total:   11
author:jd, total:   10
author:ra, total:    8
author:ki, total:    7
author:as, total:    6
author:lo, total:    6
author:mi, total:    5
author:sh, total:    5
author:sy, total:    5
author:kd, total:    4
author:te, total:    4
author:sd, total:    4
author:ka, total:    4
author:re, total:    4
author:su, total:    4
author:we, total:    4
author:li, total:    4
author:co, total:    4
author:pi, total:    4
author:c1, total:    3
author:vo, total:    3
author:Su, total:    3
author:xh, total:    3
author:st, total:    3
author:go, total:    3
author:ph, total:    3
author:ki, total:    3
author:ar, total:    3
author:wo, total:    3
author:bu, total:    3
author:k4, total:    2
author:Ju, total:    2
author:wa, total:    2
author:ya, total:    2
author:dk, total:    2
author:ho, total:    2
author:ze, total:    2
author:he, total:    2
author:as, total:    2
author:ra, total:    2
author:ku, total:    2
author:d1, total:    2
author:ju, total:    2
author:Bo, total:    2
author:de, total:    2
author:go, total:    2
author:se, total:    2
author:sc, total:    2
author:la, total:    2
author:ko, total:    2
