user_id:pi, total:   17
user_id:qu, total:   16
user_id:ri, total:   11
user_id:oo, total:   11
user_id:bl, total:    8
user_id:be, total:    8
user_id:yj, total:    7
user_id:bu, total:    7
user_id:yh, total:    7
user_id:da, total:    7
user_id:br, total:    6
user_id:ee, total:    6
user_id:ca, total:    6
user_id:be, total:    6
user_id:to, total:    6
user_id:ju, total:    6
user_id:ia, total:    6
user_id:jo, total:    5
user_id:ne, total:    5
user_id:al, total:    5
user_id:st, total:    5
user_id:dj, total:    4
user_id:so, total:    4
user_id:me, total:    4
user_id:tl, total:    4
user_id:al, total:    4
user_id:hi, total:    4
user_id:ab, total:    4
user_id:in, total:    4
user_id:xw, total:    3
user_id:ca, total:    3
user_id:co, total:    3
user_id:dr, total:    3
user_id:ra, total:    3
user_id:xn, total:    3
user_id:at, total:    3
user_id:ci, total:    3
user_id:2o, total:    3
user_id:wc, total:    3
user_id:ga, total:    3
user_id:kt, total:    3
user_id:hi, total:    2
user_id:oh, total:    2
user_id:ze, total:    2
user_id:yo, total:    2
user_id:ha, total:    2
user_id:ch, total:    2
user_id:le, total:    2
user_id:cl, total:    2
user_id:el, total:    2
