user_id:sp, total:   16
user_id:ch, total:    6
user_id:yo, total:    6
user_id:yh, total:    4
user_id:da, total:    3
user_id:ha, total:    3
user_id:ne, total:    3
user_id:ar, total:    3
user_id:an, total:    3
user_id:ju, total:    3
user_id:tw, total:    2
user_id:ni, total:    2
user_id:ss, total:    2
user_id:sy, total:    2
user_id:ta, total:    2
user_id:sl, total:    2
user_id:ka, total:    2
user_id:gi, total:    2
user_id:oo, total:    2
user_id:ju, total:    2
user_id:as, total:    2
user_id:hi, total:    2
user_id:ji, total:    1
user_id:tl, total:    1
user_id:su, total:    1
user_id:ch, total:    1
user_id:lj, total:    1
user_id:xo, total:    1
user_id:bo, total:    1
user_id:he, total:    1
user_id:ts, total:    1
user_id:ca, total:    1
user_id:zi, total:    1
user_id:kt, total:    1
user_id:do, total:    1
user_id:ch, total:    1
user_id:sa, total:    1
user_id:su, total:    1
user_id:22, total:    1
user_id:se, total:    1
user_id:js, total:    1
user_id:eu, total:    1
user_id:ko, total:    1
user_id:yo, total:    1
user_id:n6, total:    1
user_id:dd, total:    1
user_id:cz, total:    1
user_id:to, total:    1
user_id:da, total:    1
user_id:ym, total:    1
