user_id:wkd, total:   13
user_id:sai, total:    9
user_id:cor, total:    8
user_id:dlw, total:    7
user_id:tas, total:    6
user_id:cli, total:    6
user_id:fru, total:    5
user_id:nim, total:    5
user_id:fil, total:    5
user_id:dre, total:    5
user_id:ges, total:    5
user_id:blu, total:    4
user_id:see, total:    4
user_id:jiy, total:    4
user_id:kow, total:    4
user_id:one, total:    4
user_id:ljm, total:    4
user_id:let, total:    4
user_id:hid, total:    4
user_id:len, total:    4
user_id:jsg, total:    4
user_id:sol, total:    3
user_id:bel, total:    3
user_id:dan, total:    3
user_id:eey, total:    3
user_id:liv, total:    3
user_id:muh, total:    3
user_id:miz, total:    3
user_id:chi, total:    3
user_id:ghk, total:    3
user_id:iri, total:    3
user_id:sle, total:    3
user_id:ars, total:    3
user_id:bon, total:    3
user_id:dar, total:    3
user_id:jpr, total:    3
user_id:red, total:    3
user_id:kyl, total:    3
user_id:skt, total:    3
user_id:ast, total:    3
user_id:ric, total:    3
user_id:fiv, total:    3
user_id:lft, total:    3
user_id:mon, total:    3
user_id:ps2, total:    3
user_id:ral, total:    3
user_id:asc, total:    3
user_id:iih, total:    3
user_id:gic, total:    3
user_id:cly, total:    3
