user_id:mem, total:   40
user_id:bia, total:   27
user_id:liv, total:   24
user_id:ges, total:   23
user_id:tan, total:   23
user_id:c10, total:   22
user_id:dar, total:   21
user_id:mor, total:   21
user_id:spi, total:   16
user_id:cyc, total:   14
user_id:cad, total:   13
user_id:Jul, total:   13
user_id:reb, total:   12
user_id:ljb, total:   12
user_id:sla, total:   11
user_id:wkd, total:   11
user_id:kim, total:   10
user_id:sav, total:   10
user_id:ted, total:   10
user_id:ddt, total:   10
user_id:pjy, total:   10
user_id:cor, total:   10
user_id:sym, total:    9
user_id:ljm, total:    9
user_id:izb, total:    9
user_id:den, total:    9
user_id:kj9, total:    9
user_id:gay, total:    9
user_id:pig, total:    8
user_id:bal, total:    8
user_id:spa, total:    8
user_id:cha, total:    7
user_id:whi, total:    7
user_id:ash, total:    7
user_id:aip, total:    7
user_id:lee, total:    7
user_id:lim, total:    7
user_id:god, total:    7
user_id:max, total:    7
user_id:jdh, total:    7
user_id:rea, total:    7
user_id:wat, total:    7
user_id:hjw, total:    6
user_id:wls, total:    6
user_id:san, total:    6
user_id:typ, total:    6
user_id:sil, total:    6
user_id:Hel, total:    6
user_id:jse, total:    6
user_id:Lee, total:    6
