user_id:ro, total:   20
user_id:sp, total:   19
user_id:da, total:   16
user_id:ev, total:   14
user_id:as, total:   14
user_id:da, total:    9
user_id:as, total:    9
user_id:gh, total:    9
user_id:da, total:    8
user_id:fa, total:    7
user_id:ne, total:    6
user_id:ta, total:    6
user_id:ap, total:    5
user_id:fl, total:    5
user_id:oo, total:    5
user_id:ne, total:    4
user_id:ca, total:    4
user_id:co, total:    4
user_id:ta, total:    4
user_id:li, total:    4
user_id:de, total:    4
user_id:ju, total:    3
user_id:pt, total:    3
user_id:he, total:    3
user_id:go, total:    3
user_id:co, total:    3
user_id:gu, total:    3
user_id:my, total:    3
user_id:li, total:    3
user_id:lj, total:    3
user_id:ch, total:    3
user_id:de, total:    3
user_id:da, total:    3
user_id:fi, total:    3
user_id:jd, total:    3
user_id:or, total:    3
user_id:cr, total:    3
user_id:ni, total:    3
user_id:bl, total:    3
user_id:ju, total:    3
user_id:ho, total:    3
user_id:iu, total:    3
user_id:ne, total:    3
user_id:ez, total:    3
user_id:re, total:    2
user_id:kj, total:    2
user_id:de, total:    2
user_id:yo, total:    2
user_id:sa, total:    2
user_id:cl, total:    2
