user_id:liv, total:   31
user_id:ges, total:   22
user_id:hin, total:   22
user_id:kim, total:   20
user_id:Jul, total:   19
user_id:aip, total:   15
user_id:sav, total:   15
user_id:wkd, total:   14
user_id:gro, total:   13
user_id:cad, total:   13
user_id:wov, total:   13
user_id:ted, total:   13
user_id:tj2, total:   13
user_id:bal, total:   13
user_id:pig, total:   12
user_id:wat, total:   12
user_id:spi, total:   12
user_id:kj9, total:   11
user_id:cor, total:   11
user_id:ian, total:   10
user_id:dar, total:   10
user_id:gay, total:   10
user_id:chr, total:   10
user_id:kic, total:   10
user_id:c10, total:   10
user_id:bub, total:   10
user_id:pin, total:    9
user_id:lft, total:    9
user_id:xpz, total:    9
user_id:han, total:    9
user_id:fru, total:    9
user_id:win, total:    8
user_id:ldu, total:    8
user_id:fgh, total:    8
user_id:hin, total:    8
user_id:mrp, total:    8
user_id:cyh, total:    7
user_id:ais, total:    7
user_id:mar, total:    7
user_id:bia, total:    7
user_id:min, total:    7
user_id:lan, total:    7
user_id:tar, total:    7
user_id:ser, total:    7
user_id:nes, total:    7
user_id:tt4, total:    7
user_id:sym, total:    6
user_id:mik, total:    6
user_id:aki, total:    6
user_id:apo, total:    6
