author:jdh, total:   11
author:gga, total:    9
author:seo, total:    8
author:min, total:    6
author:ian, total:    6
author:red, total:    6
author:62k, total:    5
author:ten, total:    5
author:con, total:    4
author:cyh, total:    4
author:kim, total:    4
author:sup, total:    4
author:ram, total:    3
author:d11, total:    3
author:ohm, total:    3
author:aip, total:    3
author:hin, total:    3
author:lik, total:    3
author:lov, total:    3
author:wak, total:    3
author:she, total:    3
author:bia, total:    3
author:nos, total:    3
author:ars, total:    3
author:hel, total:    3
author:wkd, total:    2
author:cad, total:    2
author:sca, total:    2
author:sim, total:    2
author:scw, total:    2
author:loe, total:    2
author:lyl, total:    2
author:zmz, total:    2
author:asw, total:    2
author:peg, total:    2
author:fif, total:    2
author:uus, total:    2
author:mic, total:    2
author:gho, total:    2
author:sin, total:    2
author:sav, total:    2
author:elf, total:    2
author:Jul, total:    2
author:yak, total:    2
author:hoo, total:    2
author:rac, total:    2
author:kim, total:    2
author:sym, total:    2
author:whg, total:    2
author:del, total:    2
