user_id:liv, total:   33
user_id:sav, total:   21
user_id:cor, total:   18
user_id:thi, total:   15
user_id:wkd, total:   13
user_id:han, total:   13
user_id:sym, total:   12
user_id:jdh, total:   12
user_id:izb, total:   11
user_id:ted, total:   11
user_id:cad, total:   11
user_id:ors, total:   10
user_id:dlw, total:   10
user_id:kic, total:   10
user_id:f49, total:   10
user_id:pig, total:   10
user_id:reb, total:    9
user_id:aip, total:    9
user_id:mir, total:    9
user_id:ior, total:    9
user_id:tar, total:    9
user_id:ljb, total:    9
user_id:ges, total:    8
user_id:hit, total:    8
user_id:mis, total:    8
user_id:las, total:    7
user_id:zza, total:    7
user_id:ska, total:    7
user_id:tod, total:    7
user_id:psi, total:    7
user_id:Jul, total:    7
user_id:gay, total:    7
user_id:nic, total:    7
user_id:gus, total:    6
user_id:bae, total:    6
user_id:tom, total:    6
user_id:sti, total:    6
user_id:bia, total:    6
user_id:hin, total:    6
user_id:yow, total:    6
user_id:fru, total:    6
user_id:bal, total:    6
user_id:c10, total:    6
user_id:tj2, total:    6
user_id:rex, total:    5
user_id:hin, total:    5
user_id:yoo, total:    5
user_id:zo2, total:    5
user_id:psd, total:    5
user_id:hym, total:    5
