user_id:liv, total:   51
user_id:sav, total:   43
user_id:kim, total:   39
user_id:thi, total:   30
user_id:ges, total:   27
user_id:reb, total:   24
user_id:kic, total:   22
user_id:jdh, total:   20
user_id:ljb, total:   19
user_id:ddt, total:   19
user_id:hin, total:   19
user_id:sym, total:   18
user_id:tj2, total:   18
user_id:cyc, total:   18
user_id:mor, total:   17
user_id:spi, total:   16
user_id:cor, total:   15
user_id:big, total:   15
user_id:wat, total:   15
user_id:whi, total:   15
user_id:den, total:   15
user_id:pig, total:   14
user_id:hjw, total:   14
user_id:tan, total:   14
user_id:wov, total:   13
user_id:cad, total:   13
user_id:lee, total:   13
user_id:Jul, total:   12
user_id:rea, total:   12
user_id:c10, total:   12
user_id:bia, total:   12
user_id:kdf, total:   11
user_id:gra, total:   11
user_id:ten, total:   10
user_id:qwe, total:   10
user_id:spa, total:   10
user_id:ais, total:   10
user_id:cor, total:   10
user_id:kim, total:    9
user_id:fru, total:    9
user_id:dyd, total:    9
user_id:tt4, total:    9
user_id:cek, total:    9
user_id:zo2, total:    9
user_id:sun, total:    9
user_id:d11, total:    9
user_id:jun, total:    9
user_id:ssd, total:    8
user_id:wkd, total:    8
user_id:yam, total:    8
