author:gga, total:   14
author:and, total:    3
author:cma, total:    2
author:sta, total:    1
author:wat, total:    1
author:sty, total:    1
author:gee, total:    1
author:sur, total:    1
author:you, total:    1
author:bit, total:    1
author:jdh, total:    1
author:did, total:    1
author:nag, total:    1
author:win, total:    1
author:mhs, total:    1
author:404, total:    1
author:xlo, total:    1
author:nbl, total:    1
author:res, total:    1
author:lun, total:    1
author:tom, total:    1
author:62k, total:    1
author:qae, total:    1
author:kis, total:    1
author:sie, total:    1
author:c1s, total:    1
author:gul, total:    1
author:sol, total:    1
author:qha, total:    1
author:kof, total:    1
author:pat, total:    1
author:hik, total:    1
author:hin, total:    1
author:bar, total:    1
author:qwe, total:    1
