author:des, total:   24
author:mem, total:   14
author:ten, total:   10
author:mad, total:    8
author:gga, total:    6
author:ban, total:    5
author:scw, total:    5
author:jel, total:    4
author:fro, total:    4
author:jhm, total:    4
author:Bla, total:    4
author:den, total:    4
author:sup, total:    4
author:gen, total:    3
author:tha, total:    3
author:pea, total:    3
author:sta, total:    3
author:dmd, total:    3
author:bor, total:    3
author:cli, total:    3
author:nir, total:    2
author:gms, total:    2
author:lov, total:    2
author:tls, total:    2
author:cro, total:    2
author:oli, total:    2
author:sty, total:    2
author:gog, total:    2
author:tru, total:    2
author:tim, total:    2
author:and, total:    2
author:rhd, total:    2
author:amo, total:    2
author:drp, total:    2
author:pir, total:    2
author:sno, total:    2
author:lil, total:    2
author:wor, total:    1
author:dou, total:    1
author:pat, total:    1
author:cuz, total:    1
author:blu, total:    1
author:lik, total:    1
author:ezk, total:    1
author:lol, total:    1
author:alk, total:    1
author:zht, total:    1
author:dol, total:    1
author:coo, total:    1
author:loe, total:    1
