author:vi, total:   10
author:yo, total:    9
author:ga, total:    5
author:na, total:    5
author:dr, total:    5
author:to, total:    5
author:th, total:    4
author:bl, total:    4
author:co, total:    4
author:in, total:    4
author:re, total:    4
author:yh, total:    4
author:dl, total:    4
author:to, total:    4
author:pp, total:    4
author:ne, total:    4
author:te, total:    3
author:js, total:    3
author:po, total:    3
author:pg, total:    3
author:pr, total:    3
author:yh, total:    3
author:gg, total:    3
author:os, total:    2
author:si, total:    2
author:lj, total:    2
author:re, total:    2
author:su, total:    2
author:sc, total:    2
author:me, total:    2
author:ki, total:    2
author:je, total:    2
author:qh, total:    2
author:ji, total:    2
author:li, total:    2
author:ko, total:    2
author:ki, total:    2
author:ap, total:    2
author:li, total:    2
author:ko, total:    2
author:me, total:    2
author:gr, total:    2
author:ne, total:    2
author:fo, total:    2
author:we, total:    2
author:cy, total:    2
author:ps, total:    2
author:de, total:    2
author:ct, total:    2
author:to, total:    2
