author:gga, total:   16
author:lad, total:    2
author:jdh, total:    2
author:and, total:    2
author:zaa, total:    2
author:cad, total:    2
author:min, total:    2
author:ehd, total:    1
author:yam, total:    1
author:myf, total:    1
author:edp, total:    1
author:lun, total:    1
author:zii, total:    1
author:zen, total:    1
author:rr4, total:    1
author:cyh, total:    1
author:roo, total:    1
author:hhb, total:    1
author:suk, total:    1
author:lim, total:    1
author:wid, total:    1
author:spl, total:    1
author:oil, total:    1
author:coo, total:    1
author:lol, total:    1
author:web, total:    1
author:ams, total:    1
author:ius, total:    1
author:inv, total:    1
author:jun, total:    1
author:tog, total:    1
author:ilo, total:    1
author:fre, total:    1
author:von, total:    1
author:dac, total:    1
author:kim, total:    1
author:oh5, total:    1
author:wit, total:    1
author:lee, total:    1
author:sup, total:    1
author:ten, total:    1
author:nad, total:    1
author:nos, total:    1
author:zzz, total:    1
author:gam, total:    1
author:gen, total:    1
author:sla, total:    1
author:sha, total:    1
author:all, total:    1
author:oli, total:    1
