author:jd, total:   15
author:ki, total:   14
author:sy, total:   12
author:ez, total:   11
author:ph, total:    8
author:ra, total:    8
author:hj, total:    7
author:gg, total:    7
author:no, total:    6
author:lo, total:    6
author:sa, total:    6
author:mi, total:    6
author:ka, total:    6
author:go, total:    6
author:co, total:    6
author:pi, total:    6
author:sh, total:    6
author:ai, total:    5
author:Su, total:    5
author:ki, total:    4
author:dk, total:    4
author:pp, total:    4
author:oh, total:    4
author:su, total:    4
author:ce, total:    4
author:ki, total:    4
author:pr, total:    4
author:th, total:    4
author:ne, total:    4
author:ar, total:    4
author:lu, total:    4
author:mi, total:    3
author:Bo, total:    3
author:of, total:    3
author:se, total:    3
author:wo, total:    3
author:ia, total:    3
author:ra, total:    3
author:ju, total:    3
author:as, total:    3
author:sg, total:    3
author:ma, total:    3
author:ku, total:    3
author:ya, total:    3
author:k4, total:    3
author:te, total:    3
author:qw, total:    3
author:ic, total:    3
author:gl, total:    3
author:re, total:    3
