author:jd, total:   19
author:ki, total:   14
author:sy, total:   12
author:ez, total:   10
author:ka, total:    8
author:ph, total:    8
author:ra, total:    8
author:gg, total:    7
author:mi, total:    7
author:co, total:    6
author:hj, total:    6
author:lo, total:    6
author:go, total:    6
author:sh, total:    6
author:no, total:    5
author:pi, total:    4
author:ne, total:    4
author:ai, total:    4
author:mi, total:    4
author:pp, total:    4
author:pr, total:    4
author:ki, total:    4
author:ce, total:    4
author:ki, total:    4
author:sa, total:    4
author:lu, total:    4
author:ju, total:    4
author:Su, total:    4
author:oh, total:    4
author:th, total:    4
author:su, total:    3
author:ya, total:    3
author:de, total:    3
author:ra, total:    3
author:ro, total:    3
author:mi, total:    3
author:ku, total:    3
author:wo, total:    3
author:pi, total:    3
author:of, total:    3
author:ma, total:    3
author:te, total:    3
author:te, total:    3
author:se, total:    3
author:Bo, total:    3
author:ne, total:    3
author:gl, total:    3
author:st, total:    3
author:k4, total:    3
author:sg, total:    3
