author:ze, total:   13
author:pr, total:   10
author:le, total:    7
author:to, total:    6
author:ga, total:    6
author:po, total:    5
author:gg, total:    5
author:th, total:    4
author:vi, total:    4
author:ne, total:    4
author:su, total:    4
author:ra, total:    3
author:89, total:    3
author:na, total:    3
author:dr, total:    3
author:st, total:    3
author:bi, total:    3
author:ha, total:    3
author:jo, total:    3
author:vi, total:    3
author:ch, total:    3
author:ki, total:    2
author:ha, total:    2
author:do, total:    2
author:ps, total:    2
author:gr, total:    2
author:kl, total:    2
author:fe, total:    2
author:ko, total:    2
author:bl, total:    2
author:mo, total:    2
author:kk, total:    2
author:yh, total:    2
author:ki, total:    2
author:ni, total:    2
author:pi, total:    2
author:la, total:    2
author:js, total:    2
author:uk, total:    2
author:im, total:    2
author:ch, total:    2
author:re, total:    2
author:dr, total:    2
author:sa, total:    2
author:hi, total:    2
author:do, total:    2
author:jd, total:    2
author:cc, total:    2
author:fi, total:    2
author:el, total:    2
