author:jd, total:   11
author:mi, total:   10
author:ju, total:    5
author:ca, total:    5
author:ki, total:    4
author:k4, total:    4
author:be, total:    4
author:ma, total:    4
author:an, total:    4
author:li, total:    4
author:we, total:    3
author:xh, total:    3
author:re, total:    3
author:ka, total:    3
author:my, total:    3
author:la, total:    3
author:no, total:    3
author:nb, total:    3
author:gg, total:    3
author:as, total:    3
author:ar, total:    2
author:sh, total:    2
author:st, total:    2
author:re, total:    2
author:hi, total:    2
author:ba, total:    2
author:po, total:    2
author:mo, total:    2
author:dr, total:    2
author:re, total:    2
author:gg, total:    2
author:ch, total:    2
author:ra, total:    2
author:ki, total:    2
author:st, total:    2
author:ki, total:    2
author:po, total:    2
author:st, total:    2
author:lj, total:    2
author:st, total:    2
author:tc, total:    2
author:ko, total:    1
author:to, total:    1
author:ne, total:    1
author:Bo, total:    1
author:ti, total:    1
author:ko, total:    1
author:dc, total:    1
author:ho, total:    1
author:gu, total:    1
