author:jd, total:   16
author:gg, total:    9
author:mi, total:    7
author:xh, total:    5
author:ju, total:    5
author:ma, total:    5
author:sh, total:    5
author:an, total:    4
author:as, total:    4
author:re, total:    4
author:ki, total:    4
author:we, total:    3
author:li, total:    3
author:be, total:    3
author:ca, total:    3
author:ze, total:    3
author:tc, total:    3
author:ka, total:    3
author:ho, total:    3
author:tr, total:    2
author:k4, total:    2
author:wi, total:    2
author:gg, total:    2
author:MS, total:    2
author:sd, total:    2
author:dk, total:    2
author:hb, total:    2
author:ra, total:    2
author:la, total:    2
author:st, total:    2
author:ru, total:    2
author:hi, total:    2
author:ki, total:    2
author:ba, total:    2
author:ta, total:    2
author:li, total:    2
author:ar, total:    2
author:ne, total:    2
author:sd, total:    2
author:la, total:    2
author:st, total:    1
author:62, total:    1
author:ch, total:    1
author:ha, total:    1
author:ch, total:    1
author:eo, total:    1
author:jo, total:    1
author:eh, total:    1
author:po, total:    1
author:dr, total:    1
