user_id:li, total:   53
user_id:ki, total:   37
user_id:ra, total:   29
user_id:ju, total:   28
user_id:cy, total:   27
user_id:ge, total:   27
user_id:wo, total:   26
user_id:sa, total:   25
user_id:sy, total:   24
user_id:hj, total:   24
user_id:hi, total:   22
user_id:jd, total:   20
user_id:co, total:   20
user_id:dk, total:   20
user_id:fi, total:   20
user_id:tj, total:   20
user_id:sp, total:   18
user_id:bu, total:   18
user_id:pi, total:   18
user_id:ai, total:   18
user_id:ai, total:   18
user_id:ro, total:   18
user_id:er, total:   17
user_id:4q, total:   17
user_id:ev, total:   16
user_id:th, total:   16
user_id:pt, total:   16
user_id:ga, total:   16
user_id:lj, total:   16
user_id:sw, total:   15
user_id:da, total:   14
user_id:le, total:   14
user_id:de, total:   14
user_id:fr, total:   14
user_id:gr, total:   13
user_id:wa, total:   13
user_id:ta, total:   13
user_id:lf, total:   13
user_id:co, total:   13
user_id:ni, total:   13
user_id:re, total:   13
user_id:ca, total:   13
user_id:42, total:   12
user_id:la, total:   12
user_id:ic, total:   12
user_id:id, total:   12
user_id:sh, total:   12
user_id:su, total:   12
user_id:al, total:   12
user_id:ty, total:   12
