user_id:li, total:   43
user_id:ki, total:   31
user_id:ra, total:   30
user_id:cy, total:   29
user_id:ju, total:   28
user_id:ge, total:   28
user_id:hj, total:   26
user_id:wo, total:   25
user_id:sy, total:   24
user_id:co, total:   24
user_id:ai, total:   23
user_id:hi, total:   21
user_id:dk, total:   21
user_id:sa, total:   21
user_id:jd, total:   21
user_id:ai, total:   20
user_id:fi, total:   20
user_id:pi, total:   20
user_id:bu, total:   18
user_id:ro, total:   18
user_id:4q, total:   17
user_id:er, total:   17
user_id:ga, total:   16
user_id:co, total:   16
user_id:sw, total:   16
user_id:ev, total:   16
user_id:sp, total:   15
user_id:lj, total:   15
user_id:th, total:   15
user_id:pt, total:   15
user_id:dd, total:   14
user_id:da, total:   14
user_id:gr, total:   14
user_id:re, total:   13
user_id:oh, total:   13
user_id:ni, total:   13
user_id:fr, total:   13
user_id:al, total:   13
user_id:tj, total:   13
user_id:lf, total:   13
user_id:ty, total:   13
user_id:wa, total:   13
user_id:su, total:   12
user_id:te, total:   12
user_id:ta, total:   12
user_id:ya, total:   12
user_id:id, total:   12
user_id:gh, total:   12
user_id:ba, total:   12
user_id:wa, total:   12
